# path	class	soname	elf_type
usr/lib/gconv/HP-GREEK8.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/HP-ROMAN8.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/HP-ROMAN9.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/HP-THAI8.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/HP-TURKISH8.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM037.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM038.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1004.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1008.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1008_420.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1025.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1026.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1046.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1047.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1097.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1112.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1122.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1123.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1124.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1129.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1130.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1132.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1133.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1137.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1140.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1141.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1142.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1143.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1144.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1145.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1146.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1147.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1148.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1149.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1153.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1154.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1155.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1156.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1157.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1158.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1160.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1161.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1162.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1163.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1164.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1166.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1167.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM12712.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1364.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1371.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1388.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1390.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM1399.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM16804.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM256.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM273.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM274.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM275.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM277.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM278.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM280.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM281.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM284.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM285.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM290.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM297.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM420.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM423.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM424.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM437.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM4517.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM4899.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM4909.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM4971.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM500.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM5347.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM803.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM850.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM851.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM852.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM855.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM856.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM857.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM858.so	plugin	-	DYN (Shared object file)
usr/lib/gconv/IBM860.so	plugin	-	DYN (Shared object file)
