# path	elf_type	interp	needed (comma-separated)
usr/bin/smbget	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpopt-samba3-cmdline-samba4.so,libpopt.so.0,libpthread.so.0,libsamba-util.so.0,libsmbclient.so.0,libtalloc.so.2
usr/bin/smbpasswd	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcli-smb-common-samba4.so,libcliauth-samba4.so,libdcerpc-samba-samba4.so,libgnutls.so.30,liblibsmb-samba4.so,libmsrpc3-samba4.so,libndr-samba4.so,libndr-standard.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-errors.so.1,libsamba-hostconfig.so.0,libsamba-passdb.so.0,libsamba-util.so.0,libsamba3-util-samba4.so,libsecrets3-samba4.so,libsmbconf.so.0,libtalloc.so.2
usr/bin/smbspool	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcom_err-samba4.so.0,libkrb5-samba4.so.26,libkrb5samba-samba4.so,liblibsmb-samba4.so,libsamba-debug-samba4.so,libsamba-errors.so.1,libsamba-hostconfig.so.0,libsamba-util.so.0,libsmbconf.so.0,libtalloc.so.2
usr/bin/smbstatus	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcmdline-contexts-samba4.so,libdbwrap-samba4.so,libpopt-samba3-samba4.so,libpopt.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-errors.so.1,libsamba-util.so.0,libsamba3-util-samba4.so,libserver-id-db-samba4.so,libsmbconf.so.0,libsmbd-base-samba4.so,libtalloc.so.2,libtdb.so.1,libutil-tdb-samba4.so
usr/bin/smbtree	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libpopt-samba3-cmdline-samba4.so,libpopt-samba3-samba4.so,libpopt.so.0,libreplace-samba4.so,libsamba-debug-samba4.so,libsamba-util.so.0,libsmbclient.so.0,libtalloc.so.2,libutil-cmdline-samba4.so
usr/bin/socat	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libcrypto.so.1.1,librt.so.1,libssl.so.1.1,libutil.so.1
usr/bin/speaker-test	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libasound.so.2,libc.so.6,libdl.so.2,libm.so.6,libpthread.so.0
usr/bin/spi-config	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/spi-pipe	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/ssh	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcrypt.so.1,libcrypto.so.1.1,libdl.so.2,libresolv.so.2,libssl.so.1.1,libutil.so.1,libz.so.1
usr/bin/ssh-add	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcrypt.so.1,libcrypto.so.1.1,libdl.so.2,libresolv.so.2,libssl.so.1.1,libutil.so.1,libz.so.1
usr/bin/ssh-agent	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcrypt.so.1,libcrypto.so.1.1,libdl.so.2,libresolv.so.2,libssl.so.1.1,libutil.so.1,libz.so.1
usr/bin/ssh-keygen	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcrypt.so.1,libcrypto.so.1.1,libdl.so.2,libresolv.so.2,libssl.so.1.1,libutil.so.1,libz.so.1
usr/bin/ssh-keyscan	DYN (Position-Independent Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libcrypt.so.1,libcrypto.so.1.1,libdl.so.2,libresolv.so.2,libssl.so.1.1,libutil.so.1,libz.so.1
usr/bin/sudo	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libdl.so.2,libpthread.so.0,libsudo_util.so.0,libutil.so.1
usr/bin/sudoreplay	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6,libdl.so.2,libpthread.so.0,libsudo_util.so.0,libz.so.1
usr/bin/sz	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	ld-linux-armhf.so.3,libc.so.6
usr/bin/tabs	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6,libncursesw.so.6
usr/bin/tar	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
usr/bin/taskset	EXEC (Executable file)	/lib/ld-linux-armhf.so.3	libc.so.6
